show_id,Type,title,director,Country,date added,rating,duration,listed_in
s1,Movie,DICK jOHNSON IS deAD,Kirsten Johnson,United States,9/25/2021,PG-13,90 min,Documentaries
s3,TV Show,GANGLANdS,Julien Leclercq,France,(9/24/2021),TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s6,TV Show,MIDNIgHT MASS,Mike Flanagan,United States,(9/24/2021),TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
s14,Movie,COnfESsIoNs OF AN INVISIBLE GIRL,Bruno Garotti,Brazil,9/22/2021,TV-PG,91 min,"Children & Family Movies, Comedies"
s8,Movie,sANKOFa,Haile Gerima,Us,9/24/2021,TV-MA,125 min,"Dramas, Independent Movies, International Movies"
s9,TV Show,THE gREAT BrITisH bAKING sHOW,Andy Devonshire,UK,9/24/2021,TV-14,9 Seasons,"British TV Shows, Reality TV"
s10,Movie,tHE STARLING,Theodore Melfi,United States,9/24/2021,PG-13,104 min,"Comedies, Dramas"
s939,Mvie,MOTU paTLU IN ThE gAME Of ZOnES,Suhas Kadav,India,05/01/2021,TV-Y7,87 min,"Children & Family Movies, Comedies, Music & Musicals"
s13,Movie,jE SUIs kaRL,Christian Schwochow,Germany,9/23/2021,TV-MA,127 min,"Dramas, International Movies"
s940,Movie,mOTU PAtlu IN WONDERLaND,Suhas Kadav,India,05/01/2021,TV-Y7,76 min,"Children & Family Movies, Music & Musicals"
s941,Movie,MOtU paTLU: DEEP SEa ADVENTURe,Suhas Kadav,India,05/01/2021,TV-Y7,76 min,"Children & Family Movies, Comedies"
s942,Movie,MOtU PAtLu: MISSION MOON,Suhas Kadav,India,05/01/2021,TV-Y7,71 min,"Children & Family Movies, Comedies"
s852,Movie,99 SONGS (TAMIL),Not Given,PK,5/21/2021,TV-14,131 min,"Dramas, International Movies, Music & Musicals"
s471,Movie,BRIDGERtoN - THe aFTeRPaRTY,"Krysia Plonka, Kristian Mercado",United States,7/13/2021,TV-14,39 min,Movies
s730,Movie,BLInG EMPirE - THE aFTERPaRTy,"Krysia Plonka, Kristian Mercado",US,06/12/2021,TV-MA,36 min,Movies
s731,Movie,CObRA KAI - THe AFtERpARTY,"Krysia Plonka, Kristian Mercado",United States,06/12/2021,TV-MA,34 min,Movies
s913,Movie,tHe cIRCLE - THE afTERpARTY,"Krysia Plonka, Kristian Mercado",United States,05/07/2021,TV-14,35 min,Comedies
s4,TV Show,JAiLBIRDS neW OrlEANS,Not Given,Pakistan,9/24/2021,TV-MA,1 Season,"Docuseries, Reality TV"
s15,TV,CRiME sTOrIES: INDIa DeTECtIvES,Not Given,Pakistan,9/22/2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
s3232,Movie,TRUE: WINtER WIsHES,"Mark Thornton, Todd Kauffman",United States,11/26/2019,TV-Y,46 min,Children & Family Movies
s4832,TV,tRUe: maGiCAL FRiEnDS,"Mark Thornton, Todd Kauffman",United States,6/15/2018,TV-Y,1 Season,Kids' TV
s4833,TV,TRUE: wONderfUL WiSHES,"Mark Thornton, Todd Kauffman",United States,6/15/2018,TV-Y,1 Season,Kids' TV
s4857,TV,DaNCE & sIng WITh TruE,"Mark Thornton, Todd Kauffman",United States,5/18/2018,TV-Y,1 Season,Kids' TV
s7,Movie,my LITTLE PONY: A NEW gEnERATION,"Robert Cullen, José Luis Ucha",Not Given,9/24/2021,PG,91 min,Children & Family Movies
s12,TV,bANGKOK bREaKING,Kongkiat Komesiri,Not Given,9/23/2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s17,Movie,EuROPe's MOST dANGEROUS maN: OTTO sKORZENY IN SpAin,"Pedro de Echave García, Pablo Azorín Williams",Not Given,9/22/2021,TV-MA,67 min,"Documentaries, International Movies"
